filename,extracted_text (colon separated),word (colon separated),similarity
.\Data\SVT\08_16.jpg,:alden:,,
.\Data\SVT\08_17.jpg,:+d:spaghetti:warehouse:,,
.\Data\SVT\09_00.jpg,:centre:circle:,,
.\Data\SVT\09_02.jpg,:b:days:inn:jersey:new:,,
.\Data\SVT\09_03.jpg,:houliha:houlihan's:,,
.\Data\SVT\09_04.jpg,:stealsishalre:,,
.\Data\SVT\09_05.jpg,:complexions:,,
.\Data\SVT\09_10.jpg,:i:leon's:,,
.\Data\SVT\09_14.jpg,:7i:brather:izesco:products:t:zoll:,,
.\Data\SVT\09_16.jpg,:1610:anodizing:industrial:,,
.\Data\SVT\09_17.jpg,:and:center:conference:crowne:grand:hall:hotels:plaza:resorts:the:,,
.\Data\SVT\09_18.jpg,:211:homewo:suites:wood:,,
.\Data\SVT\09_19.jpg,:simon:,,
.\Data\SVT\10_02.jpg,:donuts:dunkin':offee:pho:,,
.\Data\SVT\10_03.jpg,:176:1k35:212-240-9800:a:church:cuisine:house:ixress:lye:of:pakistan:paya:phone:qpen:st.:tea:texmexican:touch:traditional:,,
.\Data\SVT\10_18.jpg,:1+:8am-7pm:an:dading:eicet:except:frank:lad:lie:no:ranklywines:standing:sunsay:trucks:,,
.\Data\SVT\11_00.jpg,:+:bohemian:entrance:grand:hotel:,,
.\Data\SVT\11_01.jpg,:lllrr:napasorn:thhhhh:win:,,
.\Data\SVT\11_02.jpg,:hatsu:sushi:,,
.\Data\SVT\11_05.jpg,:&:1071 228-7088:bike:cx:delivery:kyle's:shop:specials:up:,,
.\Data\SVT\11_06.jpg,:coffee:starbucks:,,
.\Data\SVT\11_07.jpg,:a:dido:dj:house:lane:latin:lisa:night:parliament:resort:,,
.\Data\SVT\11_09.jpg,:00:bar:central:centratl:east:phone:station:,,
.\Data\SVT\11_10.jpg,:church:dianetics:foundation:hubbard:of:scientology:,,
.\Data\SVT\11_15.jpg,:&:coconiac:hobby:inc.:photo:,,
.\Data\SVT\11_17.jpg,:t:tubu:,,
.\Data\SVT\12_02.jpg,:& dime:bank:day.:don't:freel:nickel:ny:open!:pic:td:we:we're:wonl:you.:,,
.\Data\SVT\12_04.jpg,:center:city:do:e:embassy:enters:entir:l:not:parking:suites:,,
.\Data\SVT\12_06.jpg,:capiro:celato:gelato:giro:lrtisaits:pani:presso:,,
.\Data\SVT\12_15.jpg,:o:ortliebs:,,
.\Data\SVT\12_16.jpg,:bos:facility:mimt:parking:states:tunnel:united:use:,,
.\Data\SVT\12_18.jpg,:#:$1h&up:2:27-2220:ar:chinatown:diang:dollar:hartware:ho:hoas:inc.:medicise:statianery:teyslpurtyupples:up:wasfe:wr9:,,
.\Data\SVT\13_02.jpg,:coffee:sarbucrs:,,
.\Data\SVT\13_03.jpg,:&:cafe:pasta:pizza:qutztos sub:roma:salads:subre:uesou:,,
.\Data\SVT\13_04.jpg,:+:101r:dodle:phelps:,,
.\Data\SVT\13_05.jpg,:+d:el:portal:,,
.\Data\SVT\13_07.jpg,:a:eye:lounge:o:od:sedemopori:,,
.\Data\SVT\13_08.jpg,:+:denterprise:sremecr:,,
.\Data\SVT\13_10.jpg,:1:pizahiut:,,
.\Data\SVT\13_11.jpg,:+:212:60:80:auto:magic:t:wvplmanicautou:,,
.\Data\SVT\13_12.jpg,:ymaa:,,
.\Data\SVT\13_13.jpg,:55:speoe:,,
.\Data\SVT\13_14.jpg,:circles:discsatapes:,,
.\Data\SVT\13_16.jpg,:+d:arts:modified:,,
.\Data\SVT\13_18.jpg,:atd's:bar:portland's:restaura:,,
.\Data\SVT\14_01.jpg,:higgins:,,
.\Data\SVT\14_02.jpg,:martioft:,,
.\Data\SVT\14_03.jpg,:+d:living:room:theaters:,,
.\Data\SVT\14_07.jpg,:college:everest:,,
.\Data\SVT\14_08.jpg,:avenue:fifth:pioneer:place:saks:,,
.\Data\SVT\14_10.jpg,:+d:kitchen:park:,,
.\Data\SVT\14_11.jpg,:outdoor:store:u.s.:us.:woter:,,
.\Data\SVT\14_14.jpg,:$ystem:and:lifeand:microtia:o:satyriconpdx.com:station:the:times:,,
.\Data\SVT\14_15.jpg,:+d:genies:genle:,,
.\Data\SVT\14_17.jpg,:high:lincoln:scrool:,,
.\Data\SVT\14_18.jpg,:8:marrtott:warnot:,,
.\Data\SVT\15_01.jpg,:embassy:parking:suites:,,
.\Data\SVT\15_02.jpg,:beer:classic:draft:food:great:house:largest:of:rock:selection:world's:yard:,,
.\Data\SVT\15_04.jpg,:1500:american:and:art:european:fres admissyn:lcons:mein:muieim:museum:of:ofart:paintings:russian:timken:works:,,
.\Data\SVT\15_06.jpg,:b:cortez:el:,,
.\Data\SVT\15_07.jpg,:1+:croce's:restaurant:,,
.\Data\SVT\15_08.jpg,:asbah:the:,,
.\Data\SVT\15_14.jpg,:1-800-598-1810:660:comfat:comfort:g:gaslamp:inn:street:,,
.\Data\SVT\15_17.jpg,:aarriotl:courtyard:,,
.\Data\SVT\15_19.jpg,:boutioue:holiday:laholiday:left:nn:turn:yiell:you:,,
.\Data\SVT\16_00.jpg,:01440:grand:h:t:,,
.\Data\SVT\16_01.jpg,:1231:hotel:whitcomb:,,
.\Data\SVT\16_02.jpg,:54:lic:mosser:parking:the:,,
.\Data\SVT\16_06.jpg,:boo:books:city:cityuchte:lights:oostore:store:uights:,,
.\Data\SVT\16_10.jpg,:biersch:brewery:gordon:restaurant:,,
.\Data\SVT\16_13.jpg,:i2:restaurant:tara:,,
.\Data\SVT\16_14.jpg,:1660:inn:square:washington:,,
.\Data\SVT\16_18.jpg,:2.00:900:chw:francis:hosptal:memorial:saint:,,
.\Data\SVT\17_00.jpg,:art:jose:museum:of:san:,,
.\Data\SVT\17_04.jpg,:+:gombei:,,
.\Data\SVT\17_05.jpg,:+:mcdonald's:,,
.\Data\SVT\17_07.jpg,:&:+d:ei:ernst:young:,,
.\Data\SVT\17_08.jpg,:a+:bo:chinese:town:vietnamesi:,,
.\Data\SVT\17_09.jpg,:claire:sainte:the:,,
.\Data\SVT\17_10.jpg,:agency:f:liquid:,,
.\Data\SVT\17_11.jpg,:a+:leasing:miraido:office:villace:,,
.\Data\SVT\17_15.jpg,:a:ace:coodsou:devesion:goodwill:,,
.\Data\SVT\17_18.jpg,:billiards:first:south:,,
.\Data\SVT\17_19.jpg,:anno:apri8:domini:mar6:saner:thru:,,
.\Data\SVT\18_00.jpg,:antica:pizzeria:tribunali:via:,,
.\Data\SVT\18_03.jpg,:hotel:k:max:,,
.\Data\SVT\18_05.jpg,:&:dinner:lunch:quinn's:,,
.\Data\SVT\18_06.jpg,:10-22:60:adult:advisory:aonossamorca:avenue:avenueg.com:foam:june:oloowo:paramount:parental:rubber:stg:t:t situations 40r:,,
.\Data\SVT\18_07.jpg,:alteratio:city:custom:hotel:moore:ons:tailors:the:,,
.\Data\SVT\18_08.jpg,:1130:8:garage:rage:,,
.\Data\SVT\18_09.jpg,:and:pike:shop:western:wine:,,
.\Data\SVT\18_10.jpg,:best:executive:inn:oh:western:,,
.\Data\SVT\18_15.jpg,:&:athaveneraracnl:avene:bar:bar&:barecrl:grill:ixthavenue:shaver:sixth:,,
.\Data\SVT\18_16.jpg,:94:clond:restaurant:stewart:,,
.\Data\SVT\18_17.jpg,:cinerama:www.cinerama.com:,,
.\Data\SVT\18_19.jpg,:neumos:pcomin:,,
.\Data\SVT\19_01.jpg,:7773:box:jewel:tiny:,,
.\Data\SVT\19_03.jpg,:24:b:cvs:cvs/pharmacy:hours:pharmacy:,,
.\Data\SVT\19_06.jpg,:7:atm:be:fireplace:liquor:ndams:phno:s:samuel:the:,,
.\Data\SVT\19_09.jpg,:1417:america:books:booksforamerica.org:boors:fo:for:open:utique:,,
